CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425767,315;4582049,218;BUS -33-54-60-75-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425778,319;4575849,138;BUS -21--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425781,319;4582157,33;BUS -33-EP1-JM--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425795,321;4583939,577;BUS -130-V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425802,32;4582052,523;BUS -7--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425803,763;4581080,674;BUS -57-157--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425810,317;4575828,825;BUS -21--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425811,058;4582198,531;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425812,286;4581970,78;BUS -54-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425814,993;4581994,399;BUS -7-67-75-L97-L79--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425818,654;4582810,597;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425824,028;4581979,757;BUS -L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425842,562;4583961,318;BUS -V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425845,316;4581120,196;BUS -D20--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425847,516;4583004,479;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425859,314;4583005,366;BUS -22-63-68-75-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425868,312;4583947,711;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425877,005;4582631,744;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425882,319;4583842,088;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425891,209;4582629,719;BUS -54-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425907,324;4585597,468;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425926,312;4582057,248;BUS -60-67-L97-L79--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425935,83;4585599,859;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425963,587;4583889,712;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425974,315;4583813,61;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426010,164;4581753,266;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426015,315;4582061,778;BUS -L97-L79-H6--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426027,326;4581174,293;BUS -D20--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426031,308;4582652,746;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426034,781;4583846,631;BUS -V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426041,666;4581684,514;BUS -54-113--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426047,306;4582366,299;BUS -33-60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426052,316;4583907,744;BUS -V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426052,355;4583302,511;BUS -22-68-75--;;
