CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428304,031;4585629,407;METRO (L3) - PENITENTS (C. d'Anna Piferrer)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428304,517;4585683,412;METRO (L3) - PENITENTS (Av. de l'Hospital Militar)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428309,349;4581667,486;METRO (L3) - SANTS ESTACIÓ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428316,204;4581593,635;METRO (L3) - SANTS ESTACIÓ (C. de Numància)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428351,35;4581626,548;METRO (L3) - SANTS ESTACIÓ (Av. de Josep Tarradellas)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428351,617;4586501,846;METRO (L5) - VALL D'HEBRÓN-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428373,378;4580957,584;METRO (L1) - HOSTAFRANCS (C. del Moianès)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428399,069;4586505,078;METRO (L3, L5) - VALL D'HEBRON (Pg. de la Vall d'Hebron)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428425,993;4584117,19;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428431,962;4583565,877;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428440,55;4583604,062;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428443,99;4586522,631;METRO (L3) - VALL D'HEBRON-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428454,596;4584099,555;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428464,386;4581003,148;METRO (L1) - HOSTAFRANCS (C. del Consell de Cent)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428473,536;4583567,057;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428479,622;4584065,28;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428480,365;4586484,614;METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428509,802;4580973,732;METRO (L1) - HOSTAFRANCS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428552,58;4581368,633;METRO (L3) - TARRAGONA (C. del Elisi)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428554,333;4580980,46;METRO (L1) - HOSTAFRANCS (C. de la Creu Coberta)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428599,868;4581953,686;METRO (L5) - ENTENÇA (C. d'Entença)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428616,843;4581362,79;METRO (L3) - TARRAGONA (C. de Tarragona)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428617,265;4585020,96;METRO (L3) - VALLCARCA (Av. de l'Hospital Militar)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428617,524;4587116,628;METRO (L3) - MONTBAU (Jardins de Pedro Muñoz Seca)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428622,373;4584988,501;METRO (L3) - VALLCARCA (Jardins Manuel Blancafort)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428633,646;4581280,318;METRO (L3) - TARRAGONA (C. Sant Nicolau)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428637,755;4581335,899;METRO (L3) - TARRAGONA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428640,796;4584981,714;METRO (L3) - VALLCARCA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428654,85;4581989,642;METRO (L5) - ENTENÇA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428670,977;4587140,456;METRO (L3) - MONTBAU-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428676,219;4587108,632;METRO (L3) - MONTBAU (Ronda de Dalt)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428685,351;4581300,382;METRO (L3) - TARRAGONA (C. d'Aragó)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428694,674;4582047,731;METRO (L5) - ENTENÇA (C. de Rocafort)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428791,257;4583866,67;FGC (L6) - SANT GERVASI-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428828,417;4587648,017;METRO (L3) - MUNDET (Llars Mundet - Velòdrom)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428837,852;4583869,712;FGC (L7) - PLAÇA MOLINA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428868,355;4587625,771;METRO (L3) - MUNDET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428870,976;4580975,956;METRO (L1) - ESPANYA (C. de la Creu Coberta)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428893,251;4587583,308;METRO (L3) - MUNDET (Can Marcet)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428896,762;4580887,245;FGC (L8) - ESPANYA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428903,412;4586281,705;METRO (L5) - EL COLL / LA TEIXONERA (Pl. de Sant Crispí)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428912,089;4580979,554;METRO (L1) - ESPANYA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428935,151;4580858,437;METRO (L3) - ESPANYA (Pl. d'Espanya)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428939,52;4586152,68;METRO (L5) - EL COLL / LA TEIXONERA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428957,11;4587634,884;METRO (L3) - MUNDET (Can Marcet)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428967,022;4580997,444;METRO (L1) - ESPANYA (C. de Tarragona)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428997,151;4580882,468;METRO (L3) - ESPANYA (Av. de la Reina Maria Cristina)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429010,086;4584390,639;METRO (L3) - LESSEPS (Rda. Gral. Mitre)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429014,781;4580976,655;METRO (L3) - ESPANYA (Gv. Corts Catalanes)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429019,43;4585919,036;METRO (L5) - EL COLL / LA TEIXONERA (C. del Beat Almató)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429026,101;4580916,949;METRO (L3) - ESPANYA (Av. del Paral.lel)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429037,312;4580953,926;METRO (L3) - ESPANYA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429050,665;4582404,533;METRO (L5) - HOSPITAL CLÍNIC (C. del Comte d'Urgell)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;429073,967;4586040,71;METRO (L5) - EL COLL / LA TEIXONERA (C. de Batet)-;;
