,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
8645348,0.0,41.38497,2.162692,1.0,50.0,Bed & Breakfast,3.0,Private room,Sant Antoni,98.08,1.0,24.0474683544,2.08333333333
8647150,0.0,41.385512,2.14157,4.0,100.0,Apartment,0.0,Entire home/apt,les Corts,99.45,1.0,14.0306122449,16.6666666667
8650653,1.0,41.40368,2.207605,1.0,44.0,Apartment,5.0,Private room,el Poblenou,97.26,5.0,11.9047619048,9.16666666667
8651196,1.0,41.370036,2.162446,1.0,35.0,Apartment,5.0,Private room,el Poble Sec,98.63,1.0,28.762962963,1.45833333333
865191,0.0,41.397221,2.170243,3.0,159.0,Apartment,4.0,Entire home/apt,la Dreta de l'Eixample,67.67,5.5,100.0,109.3125
865309,0.0,41.39721,2.169577,3.0,99.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,99.18,12.0,14.6315028902,148.5
8659879,1.0,41.416695,2.176326,2.0,25.0,Apartment,4.0,Private room,el Guinard,83.84,5.0,12.3966942149,10.4166666667
8662879,1.0,41.389908,2.180598,1.0,30.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",99.73,1.0,16.3021978022,1.25
866298,0.0,41.381729,2.140544,3.0,69.0,Loft,5.0,Entire home/apt,Sants,90.41,49.17,19.3798449612,424.09125
8663785,1.0,41.405674,2.157621,1.0,22.0,Loft,4.5,Private room,la Vila de Grcia,99.73,1.0,40.0943396226,0.916666666667
8666346,0.0,41.398981,2.172127,2.0,42.0,Apartment,5.0,Private room,la Dreta de l'Eixample,28.22,3.0,18.8059701493,10.5
8666693,0.0,41.398817,2.158036,1.0,19.0,Apartment,5.0,Shared room,la Vila de Grcia,99.73,1.0,21.4705882353,0.791666666667
8667017,0.0,41.419304,2.174042,3.0,59.0,Apartment,4.0,Entire home/apt,el Guinard,99.18,2.0,65.625,14.75
8668402,0.0,41.409612,2.159289,2.0,50.0,Apartment,3.0,Private room,el Camp d'en Grassot i Grcia Nova,18.36,1.0,100.0,4.16666666667
8676495,0.0,41.433518,2.151078,3.0,41.0,Apartment,4.0,Entire home/apt,la Vall d'Hebron,70.96,2.0,44.114010989,10.25
8677015,1.0,41.377804,2.128928,1.0,24.0,Apartment,5.0,Private room,Sants - Badal,98.36,15.0,89.2857142857,15.0
8677938,0.0,41.392988,2.130246,1.0,115.0,Apartment,5.0,Entire home/apt,les Tres Torres,61.1,1.0,27.1035598706,4.79166666667
867893,0.0,41.372578,2.162981,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.29,23.0,14.765625,230.0
8680630,1.0,41.373849,2.168261,1.0,36.0,Apartment,5.0,Private room,el Poble Sec,97.26,6.0,36.3112391931,9.0
868132,0.0,41.397901,2.176625,1.0,200.0,Apartment,4.5,Entire home/apt,el Fort Pienc,77.81,1.0,28.8306451613,8.33333333333
8685205,1.0,41.381451,2.151735,1.0,24.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,98.36,2.0,27.0967741935,2.0
8693887,5.0,41.416051,2.211704,2.0,20.0,Apartment,5.0,Private room,el Bess i el Maresme,98.08,3.0,15.9972299169,5.0
8694431,2.0,41.385189,2.178058,1.0,25.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",96.16,4.0,21.9512195122,4.16666666667
871627,1.0,41.378857,2.158325,2.0,25.0,Apartment,4.5,Private room,Sant Antoni,96.99,20.67,13.7535816619,43.0625
8719060,1.0,41.398025,2.191755,1.0,18.0,Apartment,4.0,Private room,el Parc i la Llacuna del Poblenou,89.59,2.0,20.6896551724,1.5
8727305,1.0,41.381972,2.181654,2.0,63.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",89.04,6.0,12.1580547112,31.5
8727626,1.0,41.387564,2.17323,1.0,89.0,Apartment,4.5,Entire home/apt,el Barri Gtic,92.33,6.0,51.3888888889,22.25
8729922,1.0,41.393366,2.170128,2.0,45.0,Apartment,4.5,Private room,la Dreta de l'Eixample,12.33,8.0,100.0,30.0
8730388,2.0,41.395764,2.146878,1.0,18.0,Apartment,5.0,Private room,Sant Gervasi - Galvany,16.99,18.0,100.0,13.5
8734389,2.0,41.420722,2.186638,2.0,30.0,Apartment,5.0,Private room,la Sagrera,97.81,3.0,28.9256198347,7.5
8745186,1.0,41.399875,2.170308,1.0,65.0,Apartment,5.0,Private room,la Dreta de l'Eixample,99.73,1.0,12.1666666667,2.70833333333
875171,6.0,41.387832,2.143924,2.0,70.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,98.36,14.33,21.4876033058,83.5916666667
8752941,2.0,41.38107,2.177014,3.0,100.0,Apartment,4.5,Entire home/apt,el Barri Gtic,99.45,1.0,14.6103896104,12.5
8753520,1.0,41.389779,2.157511,2.0,80.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,92.33,1.0,28.0542986425,6.66666666667
8757626,0.0,41.38577,2.171568,1.0,84.0,Apartment,4.5,Private room,el Barri Gtic,14.79,14.0,18.3615819209,49.0
8765953,0.0,41.40661,2.197106,1.0,30.0,Apartment,5.0,Private room,Provenals del Poblenou,22.47,3.0,25.8426966292,3.75
8768905,1.0,41.381432,2.188954,3.0,99.0,Apartment,1.0,Entire home/apt,la Barceloneta,91.78,1.0,23.8095238095,12.375
8769452,0.0,41.415722,2.177602,6.0,80.0,Apartment,5.0,Entire home/apt,el Guinard,36.44,1.0,14.0186915888,20.0
8771711,1.0,41.425487,2.18813,1.0,25.0,Bed & Breakfast,5.0,Private room,la Sagrera,14.79,3.0,16.5289256198,3.125
8771818,3.0,41.400322,2.160692,1.0,30.0,Apartment,5.0,Private room,la Vila de Grcia,24.93,1.0,17.0454545455,1.25
8774654,0.0,41.404941,2.170878,2.0,100.0,Condominium,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,62.47,1.0,14.6341463415,8.33333333333
877884,1.0,41.385877,2.150619,3.0,119.0,Apartment,5.0,Entire home/apt,la Nova Esquerra de l'Eixample,92.88,9.67,15.4929577465,143.84125
878312,0.0,41.384369,2.182966,3.0,59.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",55.62,8.0,13.8121546961,59.0
8788172,0.0,41.390936,2.145689,1.0,29.0,Apartment,5.0,Private room,l'Antiga Esquerra de l'Eixample,79.18,2.0,54.5454545455,2.41666666667
8789800,2.0,41.434726,2.202056,1.0,20.0,Apartment,0.0,Private room,el Bon Pastor,99.45,1.0,55.4347826087,0.833333333333
879036,0.0,41.385272,2.159421,2.0,45.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,99.73,10.0,15.3133903134,37.5
879050,1.0,41.390079,2.174963,2.0,80.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,98.08,34.83,23.0158730159,232.2
879162,0.0,41.378971,2.175066,2.0,24.0,Apartment,4.5,Private room,el Raval,50.68,13.0,14.2292490119,26.0
8804343,0.0,41.386091,2.173238,2.0,200.0,Apartment,5.0,Entire home/apt,el Barri Gtic,87.67,8.0,17.2946175637,133.333333333
881344,1.0,41.380873,2.160648,2.0,120.0,Apartment,4.0,Entire home/apt,Sant Antoni,92.33,29.84,59.7222222222,298.4
8819921,1.0,41.383217,2.170638,3.0,84.0,Apartment,4.5,Entire home/apt,el Raval,87.67,7.0,91.4285714286,73.5
8823917,0.0,41.386313,2.181495,2.0,15.0,Apartment,0.0,Private room,"Sant Pere, Santa Caterina i la Ribera",92.05,1.0,13.0912162162,1.25
8840677,0.0,41.387386,2.173159,3.0,200.0,Apartment,4.0,Entire home/apt,el Barri Gtic,24.66,2.0,12.0278551532,50.0
884420,1.0,41.378172,2.122027,2.0,80.0,Apartment,4.5,Entire home/apt,la Maternitat i Sant Ramon,97.26,4.5,13.4831460674,30.0
8850765,9.0,41.382468,2.153724,3.0,53.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,99.73,3.0,18.3701657459,19.875
8863110,1.0,41.399195,2.204052,1.0,31.0,Apartment,5.0,Private room,el Poblenou,13.7,3.0,100.0,3.875
8880938,2.0,41.374364,2.172521,3.0,68.0,Apartment,5.0,Entire home/apt,el Poble Sec,96.44,2.0,100.0,17.0
8882712,1.0,41.419279,2.160078,2.0,52.0,Apartment,5.0,Private room,el Carmel,96.71,3.0,41.0094637224,13.0
