,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
3498253,99.7,1.0,2.0,0.4,55.0,2.0,9.2,110.0,1,la Dreta de l'Eixample
6283535,81.6,11.2,2.0,16.6,175.0,22.3,325.6,3907.7,1,el Camp d'en Grassot i Grcia Nova
18907409,46.3,2.1,1.0,1.6,25.2,4.2,29.7,356.0,6,el Fort Pienc
4145430,57.5,10.8,4.0,11.3,150.0,21.5,537.5,6450.0,1,Sant Antoni
6390039,68.8,10.5,4.0,28.6,85.0,21.0,297.5,3570.0,1,la Sagrada Famlia
26583320,45.3,0.8,1.0,6.8,25.0,1.5,3.1,37.5,2,la Sagrada Famlia
5472538,79.2,34.3,2.0,7.2,95.0,68.5,542.4,6508.5,1,el Fort Pienc
10630344,43.8,1.0,1.0,12.4,35.0,2.0,2.9,35.0,1,la Nova Esquerra de l'Eixample
8667421,96.4,14.5,1.0,2.9,39.0,29.0,47.1,565.5,1,la Nova Esquerra de l'Eixample
20555536,80.0,4.3,3.0,1.3,225.0,8.5,239.1,2868.8,1,la Dreta de l'Eixample
34678149,99.7,3.5,2.0,7.5,55.0,7.0,32.1,385.0,1,la Dreta de l'Eixample
17490212,57.4,21.8,1.0,13.7,81.7,43.5,903.5,10842.0,6,l'Antiga Esquerra de l'Eixample
41283633,91.8,2.5,1.0,3.9,49.0,5.0,10.2,122.5,1,la Font de la Guatlla
4006184,96.9,12.0,3.0,7.2,43.6,24.0,883.6,10603.4,7,la Dreta de l'Eixample
3817769,60.8,5.8,3.0,0.6,25.0,11.5,35.9,431.3,1,la Vila de Grcia
23621055,47.0,22.6,2.0,7.3,65.0,45.3,490.2,5882.5,2,el Barri Gtic
40676061,94.2,1.2,0.0,5.0,158.9,2.4,0.0,0.0,14,el Fort Pienc
29016368,96.7,4.5,1.0,1.7,80.0,9.0,30.0,360.0,1,Sant Gervasi - Galvany
33644849,95.6,11.0,2.0,4.6,88.0,22.0,488.5,5862.0,3,la Dreta de l'Eixample
9503026,73.3,17.4,1.0,7.9,43.5,34.8,126.8,1521.8,2,el Bess i el Maresme
18714675,58.4,8.5,1.0,1.1,104.0,17.0,73.7,884.0,1,la Vila de Grcia
34603317,92.9,1.0,2.0,0.5,18.0,2.0,3.0,36.0,1,la Vila de Grcia
6299958,96.8,2.5,2.0,6.5,106.5,5.0,95.8,1149.0,2,el Putxet i el Farr
29884729,7.4,4.0,1.0,30.5,65.0,8.0,21.7,260.0,1,el Poble Sec
8683835,98.6,2.0,3.0,3.2,90.0,4.0,45.0,540.0,1,l'Antiga Esquerra de l'Eixample
4858173,91.0,2.0,1.0,9.4,2764.0,4.0,460.7,5528.0,1,la Dreta de l'Eixample
18646605,99.7,0.5,1.0,11.4,24.0,1.0,1.0,12.0,1,la Sagrada Famlia
7561536,93.4,2.0,15.0,8.1,70.0,4.0,175.0,2100.0,1,el Camp de l'Arpa del Clot
6822847,23.8,8.0,4.0,6.1,48.0,16.0,128.0,1536.0,1,el Parc i la Llacuna del Poblenou
7595640,95.6,13.2,3.0,3.7,45.0,26.3,148.1,1777.3,1,la Sagrada Famlia
5414471,95.9,2.5,2.0,2.1,22.0,5.0,9.2,110.0,1,la Verneda i la Pau
3514423,75.6,15.1,3.0,15.5,60.0,30.2,226.3,2715.3,1,la Vila de Grcia
3055948,24.4,4.5,2.0,15.9,82.0,9.0,61.5,738.0,1,Hostafrancs
9781583,95.6,0.5,1.0,0.8,48.0,1.0,2.0,24.0,1,la Dreta de l'Eixample
8872272,94.8,6.6,12.0,11.2,107.0,13.3,1588.3,19059.0,2,la Dreta de l'Eixample
23945554,99.7,3.5,1.0,11.3,35.0,7.0,10.2,122.5,1,el Barri Gtic
7668052,69.6,10.5,2.0,1.5,65.0,21.0,113.8,1365.0,1,el Poble Sec
3593614,55.9,0.5,3.0,27.0,75.0,1.0,9.4,112.5,1,el Baix Guinard
4145498,99.5,21.3,2.0,2.5,13.0,42.7,46.2,554.7,1,"Sant Pere, Santa Caterina i la Ribera"
980367,99.7,5.5,4.0,9.0,55.0,11.0,100.8,1210.0,1,Provenals del Poblenou
17523036,99.7,0.5,1.0,71.1,12.0,1.0,0.5,6.0,1,Ciutat Meridiana
16501477,90.4,5.3,5.0,6.0,99.0,10.5,433.1,5197.5,2,el Fort Pienc
8544608,30.7,1.0,1.0,26.8,50.0,2.0,4.2,50.0,1,la Dreta de l'Eixample
31352208,99.7,8.5,2.0,4.3,32.0,17.0,45.3,544.0,1,el Raval
3006819,96.4,26.5,1.0,5.9,27.0,53.0,59.6,715.5,1,l'Antiga Esquerra de l'Eixample
4268388,57.3,5.5,2.0,2.9,30.0,11.0,27.5,330.0,1,el Raval
9915110,71.8,18.0,0.0,3.3,94.0,36.0,0.0,0.0,1,la Sagrada Famlia
20054374,81.6,7.0,2.0,0.4,50.0,14.0,58.3,700.0,1,el Poblenou
2572647,99.3,10.8,3.0,24.9,32.5,21.6,176.1,2113.5,2,el Fort Pienc
5374312,95.1,12.0,0.0,13.6,100.0,24.0,0.0,0.0,1,la Nova Esquerra de l'Eixample
3498347,8.5,3.5,3.0,2.1,150.0,7.0,131.3,1575.0,1,el Poblenou
14377327,51.8,1.5,4.0,19.1,100.0,3.0,50.0,600.0,1,el Poble Sec
43858664,99.7,0.5,1.0,1.7,20.0,1.0,0.8,10.0,1,la Prosperitat
1163636,55.3,5.5,4.0,1.2,26.0,11.0,47.7,572.0,1,Sants - Badal
10428789,98.1,7.5,2.0,20.3,50.0,15.0,62.5,750.0,1,el Parc i la Llacuna del Poblenou
3383670,99.2,2.5,2.0,41.8,39.0,5.0,16.3,195.0,1,Sant Antoni
529756,90.6,6.5,3.0,19.3,226.0,13.0,737.0,8844.0,2,el Barri Gtic
7053689,94.2,7.1,0.0,8.5,145.5,14.1,0.0,0.0,22,Sant Antoni
42233293,91.8,1.0,1.0,7.2,38.0,2.0,3.2,38.0,1,"Sant Pere, Santa Caterina i la Ribera"
