,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
7693514,5.0,41.398274,2.203156,1.0,68.0,House,5.0,Private room,el Poblenou,99.73,1.0,5.0,2.83333333333
7703891,2.0,41.375114,2.158575,1.0,41.0,Apartment,3.5,Private room,Sant Antoni,41.1,3.0,0.413223140496,5.125
7704296,2.0,41.417514,2.214669,3.0,25.0,Apartment,4.0,Private room,el Bess i el Maresme,99.73,1.0,4.54545454545,3.125
7704808,2.0,41.410605,2.187046,1.0,45.0,Apartment,5.0,Shared room,el Clot,99.73,1.0,3.03643724696,1.875
7706252,2.0,41.437142,2.153743,1.0,29.0,Bed & Breakfast,5.0,Private room,Horta,14.25,3.0,1.6620498615,3.625
7710965,2.0,41.387221,2.172007,2.0,35.0,Apartment,4.5,Private room,el Barri Gtic,99.73,13.0,5.46357615894,37.9166666667
7712792,2.0,41.41856,2.206574,2.0,36.0,Apartment,5.0,Private room,la Verneda i la Pau,18.36,30.0,0.412087912088,90.0
7712999,2.0,41.383015,2.184295,2.0,39.0,Apartment,4.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",99.18,8.0,4.64788732394,26.0
7721510,2.0,41.390216,2.14413,1.0,40.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,33.97,3.0,2.06043956044,5.0
7723363,2.0,41.380024,2.163171,1.0,41.0,Apartment,5.0,Private room,Sant Antoni,33.97,1.0,9.03614457831,1.70833333333
7725978,12.0,41.381691,2.189632,3.0,61.0,Apartment,4.5,Entire home/apt,la Barceloneta,99.73,5.0,18.2203389831,38.125
773014,3.0,41.383067,2.16223,3.0,33.0,Apartment,5.0,Private room,Sant Antoni,99.73,4.0,8.21917808219,16.5
773523,7.0,41.40355,2.17512,3.0,115.0,Apartment,4.0,Entire home/apt,la Sagrada Famlia,92.05,18.0,39.6226415094,258.75
7741775,3.0,41.384185,2.195233,1.0,260.0,Apartment,4.0,Entire home/apt,la Barceloneta,87.12,1.0,0.413223140496,10.8333333333
7756189,2.0,41.396467,2.186358,1.0,300.0,Apartment,0.0,Entire home/apt,el Fort Pienc,33.42,1.0,7.48351648352,12.5
7757714,2.0,41.396738,2.181615,1.0,25.0,Apartment,3.0,Private room,el Fort Pienc,99.73,3.0,5.15021459227,3.125
7761323,2.0,41.402912,2.170428,2.0,25.0,Apartment,3.5,Private room,la Sagrada Famlia,99.73,10.0,5.35714285714,20.8333333333
7761614,2.0,41.40226,2.157322,2.0,40.0,Apartment,5.0,Private room,la Vila de Grcia,99.73,1.0,1.38888888889,3.33333333333
777538,4.0,41.384631,2.179332,2.0,90.0,Apartment,4.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",98.36,28.5,26.9370967742,213.75
7803444,2.0,41.412287,2.162015,1.0,45.0,Bed & Breakfast,4.5,Private room,el Camp d'en Grassot i Grcia Nova,84.66,13.0,6.6717791411,24.375
7806225,2.0,41.40661,2.179474,2.0,25.0,Apartment,4.0,Private room,la Sagrada Famlia,75.34,6.0,14.5434782609,12.5
7815852,2.0,41.380758,2.166664,3.0,33.0,Apartment,4.5,Private room,el Raval,95.07,12.0,43.5483870968,49.5
7823774,2.0,41.408442,2.207511,2.0,58.0,Apartment,5.0,Private room,Diagonal Mar i el Front Martim del Poblenou,99.45,1.0,5.98746518106,4.83333333333
7856837,3.0,41.414484,2.214984,2.0,53.0,Apartment,4.0,Entire home/apt,el Bess i el Maresme,98.08,5.0,0.824175824176,22.0833333333
7867008,2.0,41.381595,2.180372,3.0,129.0,Apartment,5.0,Entire home/apt,el Barri Gtic,93.42,4.0,14.593575419,64.5
7878502,2.0,41.427408,2.157964,2.0,45.0,House,5.0,Private room,el Carmel,28.77,1.0,17.3564814815,3.75
7879007,2.0,41.402144,2.159706,1.0,45.0,Apartment,4.0,Private room,la Vila de Grcia,31.23,1.0,0.415512465374,1.875
7895781,2.0,41.37804,2.170737,2.0,25.0,Apartment,4.5,Private room,el Raval,93.97,12.0,1.73410404624,25.0
7907846,2.0,41.380357,2.187593,1.0,100.0,Apartment,4.0,Entire home/apt,la Barceloneta,33.7,3.0,4.83870967742,12.5
7910472,2.0,41.419013,2.201122,3.0,26.0,Apartment,4.0,Private room,Sant Mart de Provenals,87.67,1.0,0.44776119403,3.25
7911088,2.0,41.380092,2.180105,1.0,20.0,Apartment,5.0,Private room,el Barri Gtic,76.71,9.0,1.27478753541,7.5
7913738,5.0,41.402838,2.175149,2.0,35.0,Apartment,5.0,Private room,la Sagrada Famlia,99.73,3.0,8.99019607843,8.75
7941199,11.0,41.408205,2.166583,3.0,85.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,49.04,6.0,0.837988826816,63.75
7943201,2.0,41.400533,2.145732,3.0,20.0,Apartment,5.0,Private room,Sant Gervasi - Galvany,98.08,1.0,27.2727272727,2.5
7948077,4.0,41.404914,2.179981,2.0,25.0,Apartment,5.0,Private room,la Sagrada Famlia,96.16,1.0,0.824175824176,2.08333333333
7954008,2.0,41.381181,2.167517,2.0,50.0,Loft,5.0,Private room,el Raval,99.45,2.0,2.94117647059,8.33333333333
7955492,2.0,41.403389,2.149329,2.0,20.0,House,5.0,Private room,el Putxet i el Farr,99.73,7.0,1.171875,11.6666666667
7955562,2.0,41.415584,2.17759,1.0,35.0,Apartment,5.0,Private room,el Guinard,91.23,1.0,10.6662049861,1.45833333333
796190,2.0,41.38335,2.17361,2.0,80.0,Apartment,5.0,Entire home/apt,el Barri Gtic,7.67,10.5,3.0,70.0
7968315,8.0,41.393532,2.152668,1.0,76.0,Bed & Breakfast,4.0,Shared room,l'Antiga Esquerra de l'Eixample,99.73,1.0,14.4204545455,3.16666666667
7968938,2.0,41.3833,2.161968,1.0,30.0,House,4.5,Private room,Sant Antoni,90.41,2.0,0.420168067227,2.5
7982406,2.0,41.40451,2.185378,1.0,25.0,Apartment,4.5,Private room,la Sagrada Famlia,54.25,18.0,0.581395348837,18.75
7983191,3.0,41.385925,2.172024,1.0,43.0,House,4.0,Private room,el Barri Gtic,99.18,18.0,4.54545454545,32.25
