,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
1049897,0.0,41.404886,2.172513,3.0,117.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,90.41,25.33,3.70879120879,370.45125
1052151,1.0,41.444168,2.165435,2.0,66.0,Apartment,4.5,Entire home/apt,Canyelles,88.49,9.0,35.5588235294,49.5
1054810,0.0,41.380924,2.171747,1.0,26.0,Apartment,4.0,Private room,el Raval,91.51,34.66,8.10810810811,37.5483333333
1054906,4.0,41.381303,2.170745,1.0,20.0,Apartment,4.0,Private room,el Raval,85.21,35.66,7.21153846154,29.7166666667
1056112,0.0,41.377106,2.152734,1.0,26.0,Apartment,4.5,Private room,Sant Antoni,87.95,53.0,5.97609561753,57.4166666667
1056132,2.0,41.379445,2.16334,2.0,40.0,Apartment,4.5,Private room,el Raval,79.45,22.33,26.9566473988,74.4333333333
1057394,0.0,41.391892,2.176054,4.0,135.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,70.41,8.5,7.34210526316,191.25
1060042,1.0,41.38197,2.160836,1.0,29.0,Apartment,4.5,Private room,Sant Antoni,91.78,31.17,1.11524163569,37.66375
1060411,1.0,41.380198,2.169338,2.0,54.0,Apartment,5.0,Private room,el Raval,99.73,9.0,16.5041436464,40.5
1060580,1.0,41.401502,2.169755,1.0,200.0,Apartment,4.5,Private room,la Dreta de l'Eixample,99.73,9.0,22.0980662983,75.0
1060614,1.0,41.396861,2.181172,2.0,95.0,Apartment,5.0,Entire home/apt,el Fort Pienc,79.18,68.51,7.16560509554,542.370833333
1061343,0.0,41.396814,2.127937,2.0,98.0,Apartment,4.5,Entire home/apt,les Tres Torres,50.68,10.0,17.0014285714,81.6666666667
1062043,1.0,41.391043,2.191768,2.0,135.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,99.73,17.5,9.30656934307,196.875
1064956,7.0,41.391391,2.129802,1.0,81.0,Apartment,4.5,Entire home/apt,les Corts,68.77,10.0,2.88461538462,33.75
1064989,0.0,41.384436,2.164816,1.0,35.0,Apartment,4.5,Private room,el Raval,94.79,62.18,16.8962264151,90.6791666667
1068375,1.0,41.425673,2.202453,3.0,50.0,Apartment,4.5,Entire home/apt,la Verneda i la Pau,98.9,17.67,19.1089285714,110.4375
1068511,0.0,41.381475,2.158819,3.0,175.0,Apartment,4.5,Entire home/apt,Sant Antoni,73.7,2.0,6.04532967033,43.75
1070511,1.0,41.407163,2.154074,1.0,30.0,Apartment,4.0,Private room,la Vila de Grcia,99.18,39.83,7.10434782609,49.7875
1071608,0.0,41.377465,2.15335,1.0,18.0,Apartment,4.5,Private room,Sant Antoni,99.18,53.33,4.12087912088,39.9975
1071740,1.0,41.373031,2.135617,4.0,399.0,Apartment,5.0,Entire home/apt,Sants,58.08,38.33,0.724637681159,2548.945
1073748,1.0,41.415166,2.105846,3.0,150.0,Apartment,5.0,Entire home/apt,"Vallvidrera, el Tibidabo i les Planes",86.03,15.0,9.125,281.25
1074100,0.0,41.374426,2.16064,2.0,70.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.89,39.67,0.412087912088,231.408333333
1075855,1.0,41.408674,2.163197,3.0,90.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,75.07,17.0,0.412087912088,191.25
1076229,1.0,41.423174,2.14807,2.0,180.0,Apartment,4.5,Entire home/apt,la Teixonera,99.73,7.0,16.313559322,105.0
1076465,1.0,41.438503,2.187975,5.0,65.0,Apartment,4.5,Entire home/apt,Sant Andreu,66.03,34.5,17.2624309392,467.1875
1077754,2.0,41.388217,2.177055,2.0,50.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",87.12,35.82,15.5256410256,149.25
1077851,1.0,41.412285,2.136777,2.0,92.0,Apartment,4.5,Entire home/apt,Sant Gervasi - la Bonanova,76.71,35.67,12.4592833876,273.47
1078046,1.0,41.390805,2.169355,2.0,50.0,Dorm,4.5,Private room,la Dreta de l'Eixample,99.73,14.67,7.72058823529,61.125
