,longitude,latitude,price
1459831,2.164018,41.404163,45.0
8075195,2.162764,41.38977,251.0
731225,2.167114,41.376668,32.0
7041486,2.173678,41.386271,29.0
7891130,2.178258,41.404001,50.0
8369307,2.169946,41.384331,80.0
11352588,2.138243,41.359243,24.0
3046491,2.1607,41.380141,115.0
3504391,2.166273,41.372766,34.0
568797,2.165139,41.402005,132.0
11291021,2.181582,41.40184,89.0
12015112,2.151215,41.379377,100.0
290035,2.15279,41.378317,27.0
9135175,2.172962,41.411081,25.0
11763760,2.165279,41.385041,53.0
11977931,2.171164,41.372726,23.0
6268880,2.159007,41.386869,110.0
6876947,2.189942,41.382197,91.0
10649173,2.159886,41.405098,33.0
1076229,2.14807,41.423174,180.0
1002049,2.170519,41.378922,26.0
8217890,2.160463,41.398368,72.0
3205789,2.200807,41.388467,60.0
1366230,2.180874,41.412332,145.0
4148060,2.15016,41.419141,28.0
7428567,2.163066,41.405863,45.0
7519841,2.163059,41.385923,68.0
7892956,2.169552,41.375105,65.0
3960574,2.158402,41.379835,59.0
11675752,2.155187,41.372999,58.0
12018438,2.17034,41.37256,16.0
9625548,2.188433,41.438355,85.0
6696471,2.176091,41.380783,152.0
4021526,2.182679,41.401014,180.0
3871913,2.138887,41.374518,60.0
3507612,2.160068,41.384849,49.0
3329054,2.151953,41.380461,18.0
7139819,2.203976,41.39865,40.0
8075880,2.171337,41.422891,30.0
1719702,2.140539,41.385381,31.0
1114170,2.15182,41.401116,42.0
2947886,2.16598,41.406272,136.0
3702623,2.130961,41.383694,18.0
4443596,2.180453,41.384427,47.0
7425598,2.147173,41.41079,75.0
6966895,2.184268,41.396683,27.0
7574633,2.138808,41.400166,200.0
5312632,2.120681,41.395788,79.0
3358891,2.145411,41.40151,98.0
5809841,2.168171,41.37558,100.0
2711885,2.144715,41.405577,81.0
1993562,2.14866,41.385609,75.0
3255929,2.151885,41.38008,29.0
9904337,2.188971,41.3779,22.0
10120072,2.179824,41.384822,30.0
2408869,2.156675,41.406089,86.0
6807040,2.188493,41.425518,35.0
11897324,2.209913,41.40407,230.0
2907942,2.16078,41.400178,400.0
11835510,2.169339,41.416632,25.0
2971917,2.165801,41.39606,120.0
7414084,2.126922,41.379705,100.0
4884320,2.165036,41.384705,31.0
