,24h_checkin,Air_conditioning,Bedroom_lock,Breakfast,Elevator,Essentials,Heating,Internet,Kitchen,Pets_allowed,Smoking_allowed,TV,Washer,accommodates,bathrooms,bedrooms,cancel_pol,host_id,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost,neighbourhood,January,February,March,April,May,June,July,August,September,October,November,December,Total_days,Availability,Ja_rcounts,Fe_rcounts,Mar_rcounts,Ap_rcounts,May_rcounts,Jun_rcounts,Jul_rcounts,Au_rcounts,Se_rcounts,Oc_rcounts,No_rcounts,De_rcounts,Total_rcounts,Est_bookings,Occupancy_rate,Income_year,Income_month
1002713,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,moderate,5513945,2.0,41.401318,2.156611,1.0,25.0,Apartment,4.0,Private room,0,la Vila de Grcia,17,29,31,2,0,0,0,0,0,0,0,0,79.0,21.64,5.0,5.0,4.0,3.0,5.67,4.33,4.33,6.0,4.33,6.33,4.33,2.67,54.99,27.495,3.2967032967,687.375,57.28125
1002821,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,4.0,strict,1310304,0.0,41.390357,2.184774,3.0,119.0,Apartment,4.5,Entire home/apt,0,el Parc i la Llacuna del Poblenou,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,4.0,100.0,1428.0,119.0
1002902,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,2.0,2.0,strict,1689383,1.0,41.413181,2.184722,2.0,93.0,Apartment,4.5,Entire home/apt,0,el Camp de l'Arpa del Clot,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.67,1.0,1.33,0.0,0.0,0.0,8.0,4.0,8.21629213483,744.0,62.0
1003214,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,flexible,5516351,1.0,41.387545,2.160368,2.0,69.0,Apartment,5.0,Entire home/apt,0,l'Antiga Esquerra de l'Eixample,29,29,31,30,31,30,31,23,30,31,30,31,356.0,97.53,1.0,0.0,1.0,2.0,2.0,1.5,2.5,3.0,1.5,4.0,0.0,1.0,19.5,9.75,0.884955752212,1345.5,112.125
10033446,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,strict,27142955,0.0,41.390223,2.180767,2.0,64.0,Apartment,4.5,Entire home/apt,0,"Sant Pere, Santa Caterina i la Ribera",21,26,24,30,31,23,31,31,30,31,30,31,339.0,92.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.433526011561,128.0,10.6666666667
10033737,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,49874728,0.0,41.384598,2.172724,5.0,130.0,Apartment,4.5,Entire home/apt,0,el Barri Gtic,11,0,0,0,0,0,0,0,0,0,0,0,11.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.641025641026,325.0,27.0833333333
10034348,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,flexible,27769068,0.0,41.385568,2.173874,2.0,19.0,Apartment,4.5,Private room,0,el Barri Gtic,25,22,28,30,27,30,31,31,30,31,30,31,346.0,94.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,15.6976744186,19.0,1.58333333333
10037008,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,23712372,3.0,41.405665,2.1658,1.0,24.0,Apartment,4.5,Private room,0,el Camp d'en Grassot i Grcia Nova,7,28,22,30,29,0,0,0,26,31,30,31,234.0,64.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,10.843373494,12.0,1.0
1005499,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,2.0,2.0,moderate,10223142,0.0,41.406033,2.177231,2.0,82.0,Apartment,4.5,Entire home/apt,0,la Sagrada Famlia,29,29,28,0,0,0,0,0,0,0,0,0,86.0,23.56,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,4.5,0.412087912088,738.0,61.5
1005502,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,2.0,2.0,moderate,10223142,0.0,41.408139,2.177223,2.0,82.0,Apartment,4.0,Entire home/apt,0,la Sagrada Famlia,29,26,28,0,0,0,0,0,0,0,0,0,83.0,22.74,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,3.0,2.15538461538,492.0,41.0
